method,initial,meta_lr,env,seed,score,step,aggregate,episodes,selected,candidate_runs,branch,backend,run_id,code_commit,log_commit,rel_path,source_path,eval_file,eval_line,score_field,evaluated_at
td3_amo,1,0.002,halfcheetah-medium-v2,0,56.45267832656301,1000000,True,50,True,1,svcho,jax,hcm_s0_alr0p002__530cac95,1e34514ddf70bfc8a78757d9a78b82306627164c,b4a61515a49c7e85a6ebaecbe763dc9eb1401594,ablation/td3_amo/halfcheetah-medium-v2/2e-3/seed_0/hcm_s0_alr0p002__530cac95,/home/svcho/amo/results/td3_amo_execonly_main_seeds03/jobs/a1_hc-m_r2e3_s0/run,final_eval_50.json,1,normalized_score,2026-09-20T18:43:06.646381+00:00
td3_amo,1,0.001,halfcheetah-medium-v2,0,53.42520724671288,1000000,True,50,True,1,svcho,jax,hcm_s0_alr0p001__f43cf145,1e34514ddf70bfc8a78757d9a78b82306627164c,b4a61515a49c7e85a6ebaecbe763dc9eb1401594,ablation/td3_amo/halfcheetah-medium-v2/1e-3/seed_0/hcm_s0_alr0p001__f43cf145,/home/svcho/amo/results/td3_amo_execonly_main_seeds03/jobs/a1_hc-m_r1e3_s0/run,final_eval_50.json,1,normalized_score,2026-09-20T18:18:52.065413+00:00
td3_amo,1,0.0003,halfcheetah-medium-v2,0,48.90089736478732,1000000,True,50,True,1,svcho,jax,hcm_s0_alr0p0003__1687401a,1e34514ddf70bfc8a78757d9a78b82306627164c,b4a61515a49c7e85a6ebaecbe763dc9eb1401594,ablation/td3_amo/halfcheetah-medium-v2/3e-4/seed_0/hcm_s0_alr0p0003__1687401a,/home/svcho/amo/results/td3_amo_execonly_main_seeds03/jobs/a1_hc-m_r3e4_s0/run,final_eval_50.json,1,normalized_score,2026-09-20T17:55:19.406616+00:00
td3_amo,1,0.002,halfcheetah-medium-replay-v2,0,49.964674174237,1000000,True,50,True,1,svcho,jax,hcmr_s0_alr0p002__4b9ef4b3,1e34514ddf70bfc8a78757d9a78b82306627164c,b4a61515a49c7e85a6ebaecbe763dc9eb1401594,ablation/td3_amo/halfcheetah-medium-replay-v2/2e-3/seed_0/hcmr_s0_alr0p002__4b9ef4b3,/home/svcho/amo/results/td3_amo_execonly_main_seeds03/jobs/a1_hc-mr_r2e3_s0/run,final_eval_50.json,1,normalized_score,2026-09-20T19:54:13.921557+00:00
td3_amo,1,0.001,halfcheetah-medium-replay-v2,0,46.98197158099862,1000000,True,50,True,1,svcho,jax,hcmr_s0_alr0p001__1b6534bc,1e34514ddf70bfc8a78757d9a78b82306627164c,b4a61515a49c7e85a6ebaecbe763dc9eb1401594,ablation/td3_amo/halfcheetah-medium-replay-v2/1e-3/seed_0/hcmr_s0_alr0p001__1b6534bc,/home/svcho/amo/results/td3_amo_execonly_main_seeds03/jobs/a1_hc-mr_r1e3_s0/run,final_eval_50.json,1,normalized_score,2026-09-20T19:30:16.795467+00:00
td3_amo,1,0.0003,halfcheetah-medium-replay-v2,0,45.78537042373763,1000000,True,50,True,1,svcho,jax,hcmr_s0_alr0p0003__7f527b09,1e34514ddf70bfc8a78757d9a78b82306627164c,b4a61515a49c7e85a6ebaecbe763dc9eb1401594,ablation/td3_amo/halfcheetah-medium-replay-v2/3e-4/seed_0/hcmr_s0_alr0p0003__7f527b09,/home/svcho/amo/results/td3_amo_execonly_main_seeds03/jobs/a1_hc-mr_r3e4_s0/run,final_eval_50.json,1,normalized_score,2026-09-20T19:07:01.891985+00:00
td3_amo,1,0.002,halfcheetah-medium-expert-v2,0,102.19801786959302,1000000,True,50,True,1,svcho,jax,hme_s0_alr0p002__c50ef0df,1e34514ddf70bfc8a78757d9a78b82306627164c,b4a61515a49c7e85a6ebaecbe763dc9eb1401594,ablation/td3_amo/halfcheetah-medium-expert-v2/2e-3/seed_0/hme_s0_alr0p002__c50ef0df,/home/svcho/amo/results/td3_amo_execonly_main_seeds03/jobs/a1_hc-me_r2e3_s0/run,final_eval_50.json,1,normalized_score,2026-09-20T21:05:07.578568+00:00
td3_amo,1,0.001,halfcheetah-medium-expert-v2,0,98.29758027443285,1000000,True,50,True,1,svcho,jax,hme_s0_alr0p001__031001da,1e34514ddf70bfc8a78757d9a78b82306627164c,b4a61515a49c7e85a6ebaecbe763dc9eb1401594,ablation/td3_amo/halfcheetah-medium-expert-v2/1e-3/seed_0/hme_s0_alr0p001__031001da,/home/svcho/amo/results/td3_amo_execonly_main_seeds03/jobs/a1_hc-me_r1e3_s0/run,final_eval_50.json,1,normalized_score,2026-09-20T20:41:49.443727+00:00
td3_amo,1,0.0003,halfcheetah-medium-expert-v2,0,97.70350028241484,1000000,True,50,True,1,svcho,jax,hme_s0_alr0p0003__6636626f,1e34514ddf70bfc8a78757d9a78b82306627164c,b4a61515a49c7e85a6ebaecbe763dc9eb1401594,ablation/td3_amo/halfcheetah-medium-expert-v2/3e-4/seed_0/hme_s0_alr0p0003__6636626f,/home/svcho/amo/results/td3_amo_execonly_main_seeds03/jobs/a1_hc-me_r3e4_s0/run,final_eval_50.json,1,normalized_score,2026-09-20T20:18:11.331064+00:00
td3_amo,1,0.002,hopper-medium-v2,0,92.59228554109518,1000000,True,50,True,1,svcho,jax,hopm_s0_alr0p002__494c20d9,1e34514ddf70bfc8a78757d9a78b82306627164c,b4a61515a49c7e85a6ebaecbe763dc9eb1401594,ablation/td3_amo/hopper-medium-v2/2e-3/seed_0/hopm_s0_alr0p002__494c20d9,/home/svcho/amo/results/td3_amo_execonly_main_seeds03/jobs/a1_h-m_r2e3_s0/run,final_eval_50.json,1,normalized_score,2026-09-20T04:33:47.369049+00:00
